LHS,SObs_L0A0_0,SObs_L0A0_1,SObs_L0A0_2,Sobs_ter,Sobs_min,Sobs_max,term2_Sobs,TObs_first_AA,Tobsmin,Tobsmax,term1_Tobs,Sneakmetric,TObs_first_aa,AssortativeMate_Factor,mature_eqn_slope,N0,Prop_sizemort
LHS_20,136689,6454,78641,85095,1,85095,0.999988248,300,153,300,1,0,NA,2.431398679,0.027926083,0.053280498,1.524761782
LHS_62,182204,20878,29392,50270,1,85095,0.590739761,300,153,300,1,0.204630119,NA,2.461666601,0.040880335,0.121635668,2.940641786
LHS_84,189953,2823,30098,32921,1,85095,0.386861743,300,153,300,1,0.306569129,NA,2.527774759,0.023475665,0.217628826,4.165578568
LHS_24,178229,11959,18619,30578,1,85095,0.35932781,300,153,300,1,0.320336095,NA,2.824287176,0.044943355,0.186341974,2.455654819
LHS_61,178346,5430,24884,30314,1,85095,0.356225395,300,153,300,1,0.321887302,NA,2.051037653,0.029330559,0.18014387,4.654305158
LHS_36,178994,2786,26899,29685,1,85095,0.348833657,300,153,300,1,0.325583172,NA,2.288412177,0.035574715,0.281908541,4.58449086
LHS_22,177631,7291,22249,29540,1,85095,0.347129679,300,153,300,1,0.326435161,NA,2.906853259,0.042516808,0.21548425,2.698245788
LHS_93,170947,3920,25239,29159,1,85095,0.34265233,300,153,300,1,0.328673835,NA,2.322961893,0.025389516,0.117447769,4.332062057
LHS_9,190698,15770,13198,28968,1,85095,0.34040778,300,153,300,1,0.32979611,NA,1.635559642,0.036676884,0.079925632,2.292501701
LHS_64,211656,17619,8810,26429,1,85095,0.310570539,300,153,300,1,0.344714731,NA,2.340740871,0.048494193,0.155381495,1.61957907
LHS_28,190146,15775,6881,22656,1,85095,0.266231859,300,153,300,1,0.366884071,NA,2.809792635,0.047795111,0.151813017,0.743816101
LHS_85,162664,13664,8566,22230,1,85095,0.261225689,300,153,300,1,0.369387156,NA,1.933001661,0.024995138,0.171455877,1.895144648
LHS_8,231055,16374,1150,17524,1,85095,0.205922792,300,153,300,1,0.397038604,NA,2.454617536,0.041308817,0.097885229,4.239869537
LHS_42,206358,14018,2287,16305,1,85095,0.191597626,300,153,300,1,0.404201187,NA,2.394306079,0.019543025,0.363633248,3.108055613
LHS_87,206097,11369,1171,12540,1,85095,0.147352958,300,153,300,1,0.426323521,NA,2.164192119,0.050480048,0.140131572,1.682198123
LHS_19,207548,3048,76,3124,1,85095,0.036700159,300,153,300,1,0.481649921,NA,2.13613082,0.0214201,0.204081549,1.271352706
LHS_27,225596,1085,28,1113,1,85095,0.013067748,300,153,300,1,0.493466126,NA,2.920152521,0.017799808,0.063526253,2.172963352
LHS_48,224432,1025,3,1028,1,85095,0.012068864,300,153,300,1,0.493965568,NA,1.602031763,0.032022904,0.329803242,4.795925628
LHS_100,222712,732,9,741,1,85095,0.008696163,300,153,300,1,0.495651918,NA,2.971287334,0.028256264,0.29461171,3.991635363
LHS_26,214693,733,0,733,1,85095,0.008602151,300,153,300,1,0.495698925,NA,2.791688705,0.042042191,0.163283731,3.296309056
LHS_80,221921,468,0,468,1,85095,0.005487984,300,153,300,1,0.497256008,NA,1.444974043,0.034115105,0.070401524,3.202187949
LHS_46,224867,291,9,300,1,85095,0.00351372,300,153,300,1,0.49824314,NA,2.948114725,0.051043034,0.417116495,0.558746239
LHS_52,211677,141,0,141,1,85095,0.00164522,300,153,300,1,0.49917739,NA,2.567891482,0.032296786,0.30569741,0.673019019
